Chronologic VCS simulator copyright 1991-2018
Contains Synopsys proprietary information.
Compiler version O-2018.09-SP2_Full64; Runtime version O-2018.09-SP2_Full64;  Dec 11 00:44 2022
*Verdi* Loading libsscore_vcs201809.so
FSDB Dumper for VCS, Release Verdi_O-2018.09-SP2, Linux x86_64/64bit, 02/21/2019
(C) 1996 - 2019 by Synopsys, Inc.
*Verdi* FSDB WARNING: The FSDB file already exists. Overwriting the FSDB file may crash the programs that are using this file.
*Verdi* : Create FSDB file 'wave.fsdb'
*Verdi* : Begin traversing the scopes, layer (0).
*Verdi* : Enable +all dumping.
*Verdi* : End of traversing.
                2962@00004188: $ 1 <= 00000033
                2966@0000418c: $ 6 <= 00000034
                2998@00004180: $ 5 <= 00003108
                3006@00004184: $ 4 <= 0000310c
                3010@00004188: $ 1 <= 00000036
                3014@0000418c: $ 6 <= 00000037
                3046@00004180: $ 5 <= 0000310c
                3054@00004184: $ 4 <= 00003110
                3058@00004188: $ 1 <= 00000039
                3062@0000418c: $ 6 <= 0000003a
                3094@00004180: $ 5 <= 00003110
                3102@00004184: $ 4 <= 00003114
                3106@00004188: $ 1 <= 0000003c
                3110@0000418c: $ 6 <= 0000003d
                3142@00004180: $ 5 <= 00003114
                3150@00004184: $ 4 <= 00003118
                3154@00004188: $ 1 <= 0000003f
                3158@0000418c: $ 6 <= 00000040
                3190@00004180: $ 5 <= 00003118
                3198@00004184: $ 4 <= 0000311c
                3202@00004188: $ 1 <= 00000042
                3206@0000418c: $ 6 <= 00000043
                3238@00004180: $ 5 <= 0000311c
                3246@00004184: $ 4 <= 00003120
                3250@00004188: $ 1 <= 00000045
                3254@0000418c: $ 6 <= 00000046
                3286@00004180: $ 5 <= 00003120
                3294@00004184: $ 4 <= 00003124
                3298@00004188: $ 1 <= 00000048
                3302@0000418c: $ 6 <= 00000049
                3334@00004180: $ 5 <= 00003124
                3342@00004184: $ 4 <= 00003128
                3346@00004188: $ 1 <= 0000004b
                3350@0000418c: $ 6 <= 0000004c
                3382@00004180: $ 5 <= 00003128
                3390@00004184: $ 4 <= 0000312c
                3394@00004188: $ 1 <= 0000004e
                3398@0000418c: $ 6 <= 0000004f
                3430@00004180: $ 5 <= 0000312c
                3438@00004184: $ 4 <= 00003130
                3442@00004188: $ 1 <= 00000051
                3446@0000418c: $ 6 <= 00000052
                3478@00004180: $ 5 <= 00003130
                3486@00004184: $ 4 <= 00003134
                3490@00004188: $ 1 <= 00000054
                3494@0000418c: $ 6 <= 00000055
                3526@00004180: $ 5 <= 00003134
                3534@00004184: $ 4 <= 00003138
                3538@00004188: $ 1 <= 00000057
                3542@0000418c: $ 6 <= 00000058
                3574@00004180: $ 5 <= 00003138
                3582@00004184: $ 4 <= 0000313c
                3586@00004188: $ 1 <= 0000005a
                3590@0000418c: $ 6 <= 0000005b
                3622@00004180: $ 5 <= 0000313c
                3630@00004184: $ 4 <= 00003140
                3634@00004188: $ 1 <= 0000005d
                3638@0000418c: $ 6 <= 0000005e
                3670@00004180: $ 5 <= 00003140
                3678@00004184: $ 4 <= 00003144
                3682@00004188: $ 1 <= 00000060
                3686@0000418c: $ 6 <= 00000061
                3718@00004180: $ 5 <= 00003144
                3726@00004184: $ 4 <= 00003148
                3730@00004188: $ 1 <= 00000063
                3734@0000418c: $ 6 <= 00000064
                3766@00004180: $ 5 <= 00003148
                3774@00004184: $ 4 <= 0000314c
                3778@00004188: $ 1 <= 00000066
                3782@0000418c: $ 6 <= 00000067
                3814@00004180: $ 5 <= 0000314c
                3822@00004184: $ 4 <= 00003150
                3826@00004188: $ 1 <= 00000069
                3830@0000418c: $ 6 <= 0000006a
                3862@00004180: $ 5 <= 00003150
                3870@00004184: $ 4 <= 00003154
                3874@00004188: $ 1 <= 0000006c
                3878@0000418c: $ 6 <= 0000006d
                3910@00004180: $ 5 <= 00003154
                3918@00004184: $ 4 <= 00003158
                3922@00004188: $ 1 <= 0000006f
                3926@0000418c: $ 6 <= 00000070
                3958@00004180: $ 5 <= 00003158
                3966@00004184: $ 4 <= 0000315c
                3970@00004188: $ 1 <= 00000072
                3974@0000418c: $ 6 <= 00000073
                4006@00004180: $ 5 <= 0000315c
                4014@00004184: $ 4 <= 00003160
                4018@00004188: $ 1 <= 00000075
                4022@0000418c: $ 6 <= 00000076
                4054@00004180: $ 5 <= 00003160
                4062@00004184: $ 4 <= 00003164
                4066@00004188: $ 1 <= 00000078
                4070@0000418c: $ 6 <= 00000079
                4102@00004180: $ 5 <= 00003164
                4110@00004184: $ 4 <= 00003168
                4114@00004188: $ 1 <= 0000007b
                4118@0000418c: $ 6 <= 0000007c
                4150@00004180: $ 5 <= 00003168
                4158@00004184: $ 4 <= 0000316c
                4162@00004188: $ 1 <= 0000007e
                4166@0000418c: $ 6 <= 0000007f
                4198@00004180: $ 5 <= 0000316c
                4206@00004184: $ 4 <= 00003170
                4210@00004188: $ 1 <= 00000081
                4214@0000418c: $ 6 <= 00000082
                4246@00004180: $ 5 <= 00003170
                4254@00004184: $ 4 <= 00003174
                4258@00004188: $ 1 <= 00000084
                4262@0000418c: $ 6 <= 00000085
                4294@00004180: $ 5 <= 00003174
                4302@00004184: $ 4 <= 00003178
                4306@00004188: $ 1 <= 00000087
                4310@0000418c: $ 6 <= 00000088
                4342@00004180: $ 5 <= 00003178
                4350@00004184: $ 4 <= 0000317c
                4354@00004188: $ 1 <= 0000008a
                4358@0000418c: $ 6 <= 0000008b
                4390@00004180: $ 5 <= 0000317c
                4398@00004184: $ 4 <= 00003180
                4402@00004188: $ 1 <= 0000008d
                4406@0000418c: $ 6 <= 0000008e
                4426@00003180: $ 1 <= 00000000
                4442@00004180: $ 5 <= 00003184
                4450@00004184: $ 4 <= 00003188
                4454@00004188: $ 1 <= 00000003
                4458@0000418c: $ 6 <= 00000004
                4490@00004180: $ 5 <= 00003188
                4498@00004184: $ 4 <= 0000318c
                4502@00004188: $ 1 <= 00000006
                4506@0000418c: $ 6 <= 00000007
                4542@00004180: $ 5 <= 00003190
                4550@00004184: $ 4 <= 00003194
                4554@00004188: $ 1 <= 00000009
                4558@0000418c: $ 6 <= 0000000a
                4590@00004180: $ 5 <= 00003194
                4598@00004184: $ 4 <= 00003198
                4602@00004188: $ 1 <= 0000000c
                4606@0000418c: $ 6 <= 0000000d
                4638@00004180: $ 5 <= 00003198
                4646@00004184: $ 4 <= 0000319c
                4650@00004188: $ 1 <= 0000000f
                4654@0000418c: $ 6 <= 00000010
                4686@00004180: $ 5 <= 0000319c
                4694@00004184: $ 4 <= 000031a0
                4698@00004188: $ 1 <= 00000012
                4702@0000418c: $ 6 <= 00000013
                4734@00004180: $ 5 <= 000031a0
                4742@00004184: $ 4 <= 000031a4
                4746@00004188: $ 1 <= 00000015
                4750@0000418c: $ 6 <= 00000016
                4782@00004180: $ 5 <= 000031a4
